Channel,Time
385,0.0000 
1373,8.0843 
1298,9.0978 
578,9.9898 
196,16.0265 
512,17.0668 
238,26.0034 
423,26.9870 
339,29.0039 
151,36.9985 
441,41.0045 
386,48.9979 
358,51.9999 
256,56.0083 
558,57.0296 
1439,58.9953 
523,66.9992 
428,68.0007 
790,72.9961 
1352,74.0532 
330,76.0154 
331,81.9988 
447,85.0403 
158,90.0010 
230,92.0018 
91,101.4837 
556,102.2789 
701,104.9971 
1403,106.0035 
1305,107.0012 
162,109.0020 
162,118.0050 
681,123.0034 
699,128.0378 
724,128.9995 
746,133.0011 
337,135.0502 
559,135.9990 
1316,139.0027 
707,140.0039 
1028,141.0085 
193,153.0080 
1338,167.0082 
231,176.1039 
242,179.0494 
142,180.0629 
141,181.0596 
1222,185.1347 
429,186.0627 
1349,189.0080 
202,190.0094 
304,196.0353 
437,202.0369 
473,203.0459 
466,205.0108 
1075,217.0781 
152,218.0304 
344,222.0715 
1372,224.0165 
349,225.0106 
104,233.0095 
1024,234.0151 
254,242.0231 
438,243.0186 
280,245.0154 
137,248.0141 
1670,249.0118 
257,250.0120 
894,253.0137 
268,258.0192 
465,261.0121 
239,262.0100 
636,264.0766 
205,268.2190 
337,269.0607 
212,276.1902 
331,278.1126 
1187,281.1915 
317,282.1429 
215,284.2087 
1403,288.1869 
1380,305.1306 
1176,309.0823 
190,311.0117 
322,320.1598 
290,326.1679 
405,331.1575 
882,338.0652 
144,345.0483 
460,350.0277 
185,353.0780 
138,354.0247 
322,364.0315 
141,369.0410 
106,370.1361 
129,371.2221 
692,373.0281 
860,375.0584 
2204,379.1596 
1282,390.0733 
298,391.1248 
401,395.0659 
397,399.0666 
1112,400.1043 
1279,401.0613 
937,409.1085 
1341,412.0646 
315,413.0994 
96,415.0636 
188,416.0648 
1128,417.0612 
151,420.0641 
668,421.0635 
538,429.1133 
157,432.1188 
310,433.0450 
417,437.0654 
133,444.0509 
1109,445.0453 
220,457.0559 
898,465.0323 
188,471.0336 
1293,480.0342 
602,481.0225 
148,489.0369 
1358,490.0337 
914,495.0865 
565,501.1891 
399,502.0378 
1316,503.1864 
160,505.1989 
149,510.1894 
459,512.2096 
567,518.1828 
211,519.0286 
233,535.0338 
711,548.0893 
1326,550.0483 
279,555.0778 
453,560.1271 
218,561.0349 
2870,562.0782 
861,563.0287 
250,565.0769 
199,580.2328 
386,584.2582 
1339,590.1246 
231,600.0755 
189,601.1650 
159,612.1334 
171,619.0777 
180,635.1709 
247,642.0634 
946,643.0829 
1329,644.0727 
755,651.0787 
267,654.0669 
826,660.0875 
862,661.0787 
417,664.0696 
525,667.0648 
450,673.0726 
817,680.0996 
117,688.0845 
298,691.0944 
1917,698.0878 
189,699.0845 
187,701.0719 
605,704.0952 
387,709.0863 
1335,711.0816 
384,737.1032 
323,738.0923 
4095,744.1384 
638,754.0922 
385,755.0840 
305,763.2146 
310,764.1912 
1306,767.2075 
321,769.1510 
1358,770.1571 
223,772.2053 
491,774.2059 
136,775.1918 
1375,781.2203 
2258,788.1660 
637,794.2428 
241,795.0798 
571,806.2861 
452,808.1553 
194,811.1154 
1218,815.1434 
244,823.2436 
413,824.1798 
364,827.1683 
384,835.1848 
862,839.2467 
289,841.1077 
278,847.0897 
1848,850.1016 
155,855.1088 
183,859.0920 
192,863.0843 
143,864.0790 
147,866.0848 
433,867.0892 
159,868.0980 
134,874.0964 
718,881.0886 
1274,887.0995 
189,890.0925 
158,891.0848 
217,901.0887 
1233,902.1047 
1387,915.0602 
255,916.0670 
570,917.0625 
137,919.0601 
223,920.1081 
970,926.1808 
201,939.0702 
230,940.1375 
1334,941.1374 
606,948.2005 
1427,951.2033 
650,961.0939 
159,963.0986 
1334,965.1442 
450,966.1608 
248,969.2506 
819,971.1575 
1332,976.1509 
263,977.1374 
369,980.1494 
488,988.1650 
1316,996.2034 
1567,1001.1509 
756,1019.1528 
1369,1024.1568 
1273,1025.1456 
2250,1027.1593 
205,1028.1622 
187,1029.1684 
789,1036.0816 
334,1037.0804 
209,1042.1476 
269,1055.0800 
377,1057.0784 
455,1063.0821 
351,1077.0730 
265,1085.0918 
213,1100.1979 
2167,1101.2368 
234,1102.1268 
168,1107.2019 
603,1112.0765 
346,1121.1100 
564,1128.1104 
562,1146.1728 
1355,1147.1199 
165,1152.1139 
503,1154.3046 
